plaintext	voltage
e21efae85002e0dc7726811b46bb92ee42e6262de48ea5939c49987d853dabae	2.5141
5111ef4d63a021176e91b29b62690fb5b330bca1fa771f68e91643e87c0310b1	2.5142
2d7f11da64f8991f8657ba14e172b215c5b166fe3c023d3a742f0073633895a7	2.5133
1255d9b29cf937548d18ddc98e1080003fb2c753a5692af9c74bb032c0f896e3	2.5133
9f21184f46efdd0827b2a166f4fcde4034a1a3907247012c1e4328a9af48bb12	2.5128
0355697013d72cd2b10d2cc8d127bedfbe6d6a9db4530fb23506741cc8fc5fee	2.5136
2f73f00fb3ebc8d5953baf1c0643aff377ac278abe69125c04e66b18271995a0	2.5127
4be6434ee9eed19069bb1fc5cb0b60b1366b8741881bf721113cfa5a3a753911	2.5115
3b263f74cb7c541142394b3e96649da490a7a334d66c7ff28bd46cb97ed60476	2.5131
7da5c49980f07696d1cab545705325afa7a48d191853c5f52bf9099570b04440	2.5127
6a73d393e453f9faf9971c2dcdec947aaec7a993d3368dc6a3f1375caec61350	2.5107
5ee77c9bf88db45295218626d163e9cccf6bd537540af718a20202994aa44b1b	2.5117
62636e62e5ae8e9bf918eae65f1f0c26d2977cedd47fb46702b91795ef012180	2.5137
plaintext	voltage
8bc0e65dbe13c9ce00c0c9bc6acd6092c55f25853e8873cd44897d6633f0d76b	2.513
d9516ac3ecff6ba4da78eff7cc19bdc07aab593c9373b492fb60ed5cfa3100a0	2.5136
bc1342bb293d16b38a75a695b8c4addc6faf2fe10cca0a542262f475e72b3ac1	2.5125
18652bbf81387265abcb2570462c51b1be61dedc4d330592fc0400fe26334254	2.5124
89d63e2cf5fee888a3eeb8e8bf4febc951ee702ef825c483591e7be53364b72e	2.5124
dad23680a25c11946bedfd09679d8072e26e80b06d36f638b4c086bf43416e6f	2.5125
f76c9a567f0c7a4bc8e93ca3ee47b0d284b510092e63f1f8dfd7b680bbfe7187	2.5129
7d742cf80c800739a34c94c94c9d7d6df6bc9168588842b67e6600507dbcc949	2.5132
e1dac64ab749bb7e8c1b87193f2da689e83fe6a511d5ea69610f30b9cf800dd8	2.5129
89da99c7c6e5f271a513e7a2644f14bc675bc79a4139dce632abc046a9f239a9	2.5115
d7697a80298853a34aa8601ab2a8c93972ef7e498752345083cc80409beaf9d9	2.5127
a564f609fa40af69de78dbbfe75913624b603fc714f43eed9d235cdd173281e0	2.5112
9faea3eb749cdf4143514f1fb9a6b1c7b4cd70995cede4540998b80ab476cc8a	2.5127
0aa720c6ef0574b606ddba072283abc7ab7d2a8d83e263adc85836749e55ca9b	2.5125
c16f821966e91206af42dc81d7f7ad1c92e804460f1ca7925152b5028f0e7dcc	2.5121
a133e266b3bb7b5b943e0e3bd27bbb605dd63b27036f6ec6ec049f9d6d119baf	2.514
dd53e1b505281c8e7216ead2868ba4a5d79b4214db119ad9ee75cfadde0adfd9	2.5138
29b13257a8f25ddd490cc2a337659adb606fee3e9538006262738ca86f9af161	2.5126
5a71d170d05730d15652b803d644795cfd5e232e8b05cfe7e70ccf9cafda42ad	2.5129
a317ab3b4840c9ed4b7861a77a86016c16d69d5f096ff9a815d77a7c02549e4a	2.5112
329016fbe7cce5ca909bb4a0704f02a008ae63ef9875c82c7cf9108174a92298	2.5114
9cd3abbf35dcbdeaf86fb3cb3747b48d78df5910df2c1518690efa9c643e1dfe	2.5117
af01bbf931f2aba0717d2ec9e42e04bf8f4993fba3be31b37d748e5e62928a3b	2.5134
5d5ce2d27efeaa7931d11e502563ecefe21db3dba53c812b280ee999445e1d0a	2.5146
56b5d95fd562d93bbb69644665dc9491c088e09fac56045b2986ad0b849933ec	2.5128
bb2ac66894981eaf8897daefe350be3d8342ef10944e200fb1cc8aabcf70da8d	2.5132
bafb84076f72b69c47f5ad37e29f45f272373bf017e501b822e2b0b3a3f22973	2.5127
5c06063f3397cc5b9bbc2ad168b4aeffccffd65fb03bbd502a4e2c94450b0d44	2.5132
62d5a096c70081d5f1904769a292acb441f956374880bbd2256c41474b1caf45	2.5142
1d7fad94409445e72fec56ff24c7abc644aca28127f296d8d5f8be2efff3583b	2.5138
a7d14076ba34a311f8432bb063ab270c8a41639039d675c48d032455788d0406	2.5135
